Name,Games,Home_WinPct,Away_WinPct,Home_Fouls,Away_Fouls,Home_Yellows,Away_Yellows,Home_Reds,Away_Reds,Home_Pens,Away_Pens
A Marriner,127,0.44881889763779526,0.33858267716535434,9.590551181102363,9.535433070866143,1.5984251968503937,1.669291338582677,0.03937007874015748,0.07086614173228346,0.10236220472440945,0.07874015748031496
A Taylor,150,0.4866666666666667,0.30666666666666664,11.273333333333333,10.926666666666666,1.7733333333333334,1.78,0.06666666666666667,0.04,0.13333333333333333,0.11333333333333334
C Kavanagh,40,0.525,0.275,9.6,10.25,1.7,1.575,0.025,0.075,0.05,0.125
C Pawson,123,0.43902439024390244,0.3252032520325203,10.715447154471544,11.178861788617887,1.5691056910569106,1.8699186991869918,0.08130081300813008,0.11382113821138211,0.11382113821138212,0.08130081300813008
G Scott,50,0.62,0.24,9.38,10.8,1.06,1.52,0.04,0.08,0.2,0.06
J Moss,141,0.425531914893617,0.3617021276595745,10.97163120567376,11.666666666666666,1.5602836879432624,1.9716312056737588,0.0851063829787234,0.0851063829787234,0.15602836879432624,0.11347517730496454
K Friend,111,0.43243243243243246,0.32432432432432434,10.306306306306306,10.981981981981981,1.6846846846846846,1.8108108108108107,0.02702702702702703,0.05405405405405406,0.17117117117117117,0.10810810810810811
L Mason,104,0.5288461538461539,0.2692307692307692,10.528846153846153,11.490384615384615,1.4134615384615385,1.5096153846153846,0.057692307692307696,0.07692307692307693,0.13461538461538464,0.08653846153846154
L Probert,43,0.4186046511627907,0.32558139534883723,10.279069767441861,9.767441860465116,1.1395348837209303,1.255813953488372,0.06976744186046512,0.13953488372093023,0.11627906976744186,0.06976744186046512
M Atkinson,145,0.38620689655172413,0.31724137931034485,10.26206896551724,11.50344827586207,1.5862068965517242,1.889655172413793,0.05517241379310345,0.06206896551724138,0.07586206896551724,0.07586206896551724
M Clattenburg,79,0.46835443037974683,0.27848101265822783,11.215189873417721,11.151898734177216,1.4683544303797469,1.7974683544303798,0.0759493670886076,0.0759493670886076,0.12658227848101267,0.18987341772151897
M Dean,146,0.4794520547945205,0.23972602739726026,10.335616438356164,11.294520547945206,1.8493150684931507,1.9657534246575343,0.06164383561643835,0.17123287671232876,0.1917808219178082,0.11643835616438356
M Jones,79,0.45569620253164556,0.2911392405063291,11.265822784810126,11.620253164556962,1.4556962025316456,1.6329113924050633,0.02531645569620253,0.10126582278481013,0.16455696202531647,0.05063291139240506
M Oliver,147,0.42857142857142855,0.30612244897959184,10.653061224489797,11.081632653061224,1.5170068027210883,1.6938775510204083,0.08843537414965986,0.08163265306122448,0.17687074829931973,0.1360544217687075
N Swarbrick,81,0.43209876543209874,0.35802469135802467,9.91358024691358,10.419753086419753,1.7407407407407407,1.617283950617284,0.04938271604938271,0.037037037037037035,0.08641975308641975,0.06172839506172839
P Tierney,55,0.41818181818181815,0.4,10.654545454545454,10.854545454545455,1.3636363636363635,1.6,0.03636363636363636,0.01818181818181818,0.07272727272727272,0.03636363636363636
R East,81,0.5061728395061729,0.2345679012345679,11.061728395061728,11.703703703703704,1.4197530864197532,1.7654320987654322,0.037037037037037035,0.04938271604938271,0.12345679012345678,0.12345679012345678
R Madley,85,0.4823529411764706,0.23529411764705882,10.458823529411765,11.68235294117647,1.5294117647058822,1.6823529411764706,0.058823529411764705,0.047058823529411764,0.2235294117647059,0.058823529411764705
S Attwell,50,0.44,0.32,9.82,9.7,1.56,1.64,0.0,0.06,0.1,0.06
